Area,Price
1623.99,6598480.0
2891.57,12129137.0
2410.39,9926674.0
2117.05,8295124.0
1143.24,4303440.0
1143.19,4720328.0
927.78,3315066.0
2705.59,11371788.0
2122.45,8843644.0
2357.76,9290286.0
845.29,2867203.0
2933.8,12141368.0
2631.37,10491133.0
1267.15,5439929.0
1200.01,4321731.0
1203.49,
1469.33,5878905.0
1954.46,7831951.0
1750.28,
1440.7,5949671.0
2146.08,8264019.0
1106.89,4384832.0
1442.72,5806962.0
1606.0,6578316.0
1803.35,7426900.0
2527.39,9772156.0
1239.28,4496895.0
1931.32,8108566.0
2103.31,8512942.0
902.19,3384218.0
2136.6,9011740.0
1175.15,4735315.0
943.11,4126243.0
2887.55,11570448.0
2924.39,12315786.0
2578.47,
1470.15,5805912.0
1014.88,4350986.0
2305.31,9414863.0
1768.34,7483931.0
1068.48,3984459.0
1889.39,7763372.0
875.65,3820146.0
2800.5,10674398.0
1369.32,5122286.0
2257.55,8418426.0
1485.76,5862235.0
1944.15,
2002.76,8461758.0
1206.68,4848948.0
2933.09,12220929.0
2505.29,9607138.0
2866.9,10956576.0
2768.62,
2115.38,8576739.0
2828.12,11302685.0
994.68,3358501.0
1231.16,4897913.0
899.5,3206659.0
1515.73,6263809.0
1655.09,6730340.0
1396.97,5305908.0
2623.22,
1584.86,6021665.0
1418.06,5653420.0
1993.93,8262268.0
1110.03,
2564.83,
964.01,3696968.0
2971.15,11646743.0
2498.94,
1237.17,4638125.0
812.15,3082500.0
2594.02,10016697.0
2355.09,10009762.0
2403.82,9625842.0
2496.79,9777261.0
962.9,3915787.0
1588.62,6320800.0
1054.91,4153357.0
2698.83,
2171.26,8912276.0
1527.98,5952752.0
939.83,3586568.0
1484.16,
1515.4,5371037.0
2405.13,9165977.0
2202.63,9220568.0
2751.87,11500962.0
1838.87,7280781.0
1063.11,4425396.0
2369.14,9569929.0
2473.73,10818573.0
2034.81,8475112.0
2496.13,9946136.0
1886.35,7258739.0
1950.01,7318115.0
1740.59,21070200.0
855.92,3196783.0
1037.36,3722768.0
869.14,3282605.0
2200.1,8475947.0
1491.58,6472475.0
1918.86,7939914.0
2796.65,11184193.0
1348.44,5837755.0
1702.84,6834580.0
2462.21,9590465.0
1303.36,
969.36,4039096.0
1437.45,16315917.0
1154.69,
2845.33,11118654.0
2577.86,
2193.49,9051806.0
2717.21,11441678.0
2568.08,9852744.0
1210.45,5010707.0
2763.63,10859326.0
1986.55,7800074.0
2576.37,10127755.0
2771.4,10826406.0
1499.61,6012987.0
1042.11,3919172.0
1301.46,5286966.0
1739.64,6943477.0
2599.63,10326846.0
2693.61,10502160.0
815.29,9264441.0
1923.64,7921194.0
1718.3,7023492.0
1288.64,4861282.0
1063.7,4284615.0
1542.75,6396430.0
2874.4,10996784.0
1511.05,6207194.0
1941.34,7566570.0
2346.64,9557746.0
1599.99,6170963.0
2937.92,11210218.0
2917.38,11181273.0
1353.92,
1893.95,7653704.0
1461.93,
1426.65,5898174.0
881.15,3026149.0
2141.04,25633026.0
1905.89,7260271.0
913.25,3457462.0
1413.02,5666308.0
2798.18,10934616.0
1327.04,5192778.0
1118.77,4776963.0
1876.8,7334117.0
2968.43,12124432.0
1332.52,4991174.0
2278.7,9273734.0
2475.56,10334723.0
1322.8,4549717.0
2402.08,9369235.0
1609.12,6609613.0
2191.07,8703378.0
2193.77,8886405.0
1978.7,7733622.0
998.64,
2637.67,10503959.0
1505.72,6373199.0
1210.34,4917689.0
889.71,3660102.0
2099.96,8276295.0
2290.64,9016285.0
836.49,
1926.6,7824755.0
1298.29,5066867.0
2219.38,8964453.0
1183.61,5357045.0
2320.06,9541590.0
1650.82,6505464.0
2860.81,35410764.0
1102.55,4287762.0
1550.35,16769841.0
1049.64,3896141.0
2834.33,10776066.0
2730.15,10815132.0
1367.47,
2251.96,9510791.0
2597.89,10489634.0
2021.44,8020037.0
1965.23,8109747.0
1332.08,4664960.0
1004.83,4089989.0
2773.87,11326758.0
2780.92,10680103.0
2192.82,9114419.0
1545.87,6285011.0
1568.26,6148458.0
2397.1,
2773.64,11775778.0
2751.59,11060920.0
2515.73,10137371.0
2212.47,
985.11,3685478.0
