Order,Distance,Items Ordered,Order Amount,Delivery Time,Rating,Discount
1,1,1,150,18,5,10
2,1,2,220,20,5,10
3,1,1,180,15,5,5
4,2,2,310,25,4,10
5,2,3,420,28,4,15
6,2,2,280,26,4,10
7,3,3,480,32,4,15
8,3,4,560,35,3,20
9,3,3,510,33,4,15
10,4,4,620,40,3,20
11,4,5,710,42,3,20
12,4,4,680,41,3,20
13,5,5,800,48,3,25
14,5,6,920,52,2,25
15,5,5,850,50,3,25
16,6,6,980,58,2,30
17,6,7,1100,62,2,30
18,6,6,1020,60,2,30
19,7,7,1200,68,2,35
20,7,8,1380,72,1,35
21,7,7,1250,70,2,35
22,8,8,1450,78,1,40
23,8,9,1600,82,1,40
24,8,8,1500,80,1,40
25,9,9,1700,88,1,45
26,1,1,160,17,5,5
27,1,2,240,19,5,10
28,2,2,300,24,4,10
29,2,3,410,27,4,15
30,3,3,490,31,4,15
31,3,4,570,36,3,20
32,4,4,640,39,3,20
33,4,5,720,43,3,20
34,5,5,820,49,3,25
35,5,6,940,53,2,25
36,6,6,990,57,2,30
37,6,7,1110,61,2,30
38,7,7,1210,67,2,35
39,7,8,1360,73,1,35
40,8,8,1460,79,1,40
41,8,9,1590,83,1,40
42,9,9,1710,87,1,45
43,1,1,170,16,5,5
44,1,2,230,21,5,10
45,2,2,290,25,4,10
46,2,3,400,29,4,15
47,3,3,500,33,4,15
48,3,4,580,37,3,20
49,4,4,650,41,3,20
50,4,5,730,44,3,20
51,5,5,830,50,3,25
52,5,6,950,54,2,25
53,6,6,1000,59,2,30
54,6,7,1120,63,2,30
55,7,7,1220,69,2,35
56,7,8,1370,74,1,35
57,8,8,1470,80,1,40
58,8,9,1610,84,1,40
59,9,9,1720,89,1,45
60,1,1,155,18,5,5
61,1,2,225,20,5,10
62,2,3,430,28,4,15
63,2,2,295,26,4,10
64,3,4,555,34,4,15
65,3,3,475,32,4,15
66,4,5,705,43,3,20
67,4,4,635,40,3,20
68,5,6,915,51,2,25
69,5,5,815,48,3,25
70,6,7,1095,61,2,30
71,6,6,975,58,2,30
72,7,8,1355,72,1,35
73,7,7,1205,68,2,35
74,8,9,1585,82,1,40
75,8,8,1455,79,1,40
76,9,9,1715,88,1,45
77,1,1,165,17,5,5
78,2,2,305,24,4,10
79,3,3,495,32,4,15
80,4,4,645,40,3,20
81,5,5,825,49,3,25
82,6,6,995,58,2,30
83,7,7,1215,68,2,35
84,8,8,1465,79,1,40
85,9,9,1705,87,1,45
86,1,2,235,20,5,10
87,2,3,415,28,4,15
88,3,4,565,35,3,20
89,4,5,715,43,3,20
90,5,6,935,52,2,25
91,6,7,1105,61,2,30
92,7,8,1365,72,1,35
93,8,9,1595,83,1,40
94,1,1,145,16,5,5
95,2,2,315,25,4,10
96,3,3,485,33,4,15
97,4,4,625,41,3,20
98,5,5,835,50,3,25
99,6,6,985,59,2,30
100,7,7,1225,69,2,35
